Month,Sort,Year,Page Views,Page Visits
July,7,2003,"4,618,078",1484766
August,8,2003,"6,201,906",1807820
September,9,2003,"6,212,629",1926503
October,10,2003,"5,623,701",1896823
November,11,2003,"4,770,724",1677243
December,12,2003,"10,635,555",2738544
January,1,2004,"8,626,559",1484766
February,2,2004,"11,362,126",1807820
March,3,2004,"11,866,809",1926503
April,4,2004,"11,632,495",1896823
May,5,2004,"12,485,764",1677243
June,6,2004,"12,762,423",2738544
July,7,2004,"12,713,265",2179838
August,8,2004,"14,340,230",2632668
September,9,2004,"17,481,590",2651441
October,10,2004,"25,487,071",2565787
November,11,2004,"21,947,381",2833320
December,12,2004,"17,548,995",2863328
January,1,2005,"23,707,171",2877284
February,2,2005,"25,933,912",3268240
March,3,2005,"29,023,852",3865053
April,4,2005,"27,185,712",5504770
May,5,2005,"24,843,292",4875573
June,6,2005,"22,676,284",3963978
July,7,2005,"21,541,241",5178138
August,8,2005,"23,454,406",5423061
September,9,2005,"30,642,864",6476017
October,10,2005,"36,831,264",5861412
November,11,2005,"35,884,024",5527116
December,12,2005,"24,344,114",5093269
January,1,2006,"33,046,267",4890619
February,2,2006,"34,492,622",5495087
March,3,2006,"41,038,226",6980043
April,4,2006,"38,570,838",8606181
May,5,2006,"38,138,628",8395294
June,6,2006,"31,159,556",5909716
July,7,2006,"29,695,599",7960202
August,8,2006,"33,455,892",8151005
September,9,2006,"37,515,912",9802895
October,10,2006,"43,154,286",9033504
November,11,2006,"41,352,144",9257305
December,12,2006,"30,734,218",7642103
January,1,2007,"40,789,088",7231595
February,2,2007,"40,261,277",8003130
March,3,2007,"40,955,689",9050834
April,4,2007,"39,914,935",10251072
May,5,2007,"39,076,247",10089290
June,6,2007,"34,758,614",8178938
July,7,2007,"34,217,746",10215132
August,8,2007,"34,615,736",9469478
September,9,2007,"38,792,059",10097178
October,10,2007,"49,792,008",9540102
November,11,2007,"44,574,805",9760902
December,12,2007,"31,675,915",9076816
January,1,2008,"42,488,833",9009875
February,2,2008,"44,725,756",9025372
March,3,2008,"44,741,580",9625709
April,4,2008,"45,923,617",12279328
May,5,2008,"39,700,218",11254531
June,6,2008,"35,931,018",8855952
July,7,2008,"36,109,788",11050501
August,8,2008,"33,722,690",11539429
September,9,2008,"40,461,900",11794620
October,10,2008,"44,920,543",12274673
November,11,2008,"39,880,574",11256359
December,12,2008,"32,443,014",10467556
January,1,2009,"40,081,058",10763659
February,2,2009,"45,406,200",10154046
March,3,2009,"46,508,062",11388454
April,4,2009,"98,247,134",12440508
May,5,2009,"95,186,955",11397273
June,6,2009,"53,583,315",9662091
July,7,2009,"49,220,552",11588423
August,8,2009,"57,479,540",13413869
September,9,2009,"79,438,263",13419321
October,10,2009,"104,993,467",31788911
November,11,2009,"79,202,117",34112452
December,12,2009,"50,985,229",20197127
January,1,2010,"51,357,254",18893813
February,2,2010,"48,868,406",21274430
March,3,2010,"53,120,987",28323356
April,4,2010,"48,575,516",39414194
May,5,2010,"50,016,698",35897618
June,6,2010,"45,032,824",25777331
July,7,2010,"41,109,176",23640894
August,8,2010,"43,426,807",21417553
September,9,2010,"49,405,844",22901363
October,10,2010,"48,167,454",20294917
November,11,2010,"41,764,892",23417164
December,12,2010,"31,516,324",21524175
January,1,2011,"38,884,048",19846650
February,2,2011,"39,293,507",20373759
March,3,2011,"46,798,740",21261030
April,4,2011,"41,686,507",17995286
May,5,2011,"48,140,980",12446356
June,6,2011,"47,864,043",9771653
